ID,Title,First_Name,Middle_Name,Other_Name,Last_Name,Maiden_Name,Servant,Servant_type,Age,Orig_Addr,Class,Survived,Survived_text,Boarded,Dest_Addr,Lifeboat,Body,latitude,longitude
'93','Mr.','Thornton','','','Davidson','','0','','31','Montreal, Quebec, Canada','First','0','Died','Southampton','Montreal, Quebec, Canada','','',45.512303,-73.554431
'94','Mrs.','Orian','','','Davidson','Hays','0','','27','Montreal, Quebec, Canada','First','1','Survived','Southampton','Montreal, Quebec, Canada','3','',45.512303,-73.554431
'95','Mr.','Albert','Adrian','','Dick','','0','','31','Calgary, Alberta, Canada','First','1','Survived','Southampton','Calgary, Alberta, Canada','3','',51.04522,-114.063014
'96','Mrs.','Vera','','','Dick','Gillespie','0','','17','Calgary, Alberta, Canada','First','1','Survived','Southampton','Calgary, Alberta, Canada','3','',51.04522,-114.063014
'97','Dr.','Washington','','','Dodge','','0','','52','San Francisco, California, USA','First','1','Survived','Southampton','San Francisco, California, USA','13','',37.777125,-122.419644
'98','Master','Washington','','','Dodge','','0','','4','San Francisco, California, USA','First','1','Survived','Southampton','San Francisco, California, USA','5','',37.777125,-122.419644
'99','Mrs.','Ruth','','','Dodge','Vidaver','0','','34','San Francisco, California, USA','First','1','Survived','Southampton','San Francisco, California, USA','5','',37.777125,-122.419644
'100','Mr.','Walter','Donald','','Douglas','','0','','50','Minneapolis, Minnesota, USA','First','0','Died','Cherbourg','Minneapolis, Minnesota, USA','','62MB',44.979035,-93.264929
'101','Mrs.','Mahala','','','Douglas','Dutton','0','','48','Minneapolis, Minnesota, USA','First','1','Survived','Cherbourg','Minneapolis, Minnesota, USA','2','',44.979035,-93.264929
'102','Miss','Berthe','','','Leroy','','1','Maid','27','Minneapolis, Minnesota, USA','First','1','Survived','Cherbourg','Minneapolis, Minnesota, USA','2','',44.979035,-93.264929
'103','Mrs.','Mary','Hélène','','Douglas','Baxter','0','','27','Montreal, Quebec, Canada','First','1','Survived','Cherbourg','Montreal, Quebec, Canada','6','',45.512303,-73.554431
'104','Lucy','Christiana','','','Duff Gordon','','0','','48','London, England','First','1','Survived','Cherbourg','New York City, New York, USA','1','',51.506325,-0.127144
